Question,Content
How do I cook a cutlet?,"preparation time: 5 minutes cooking time: 5 minutes portions: 4 ingredients: 125 g cooked dried black-eyed peas 140 g boiled and mashed floury potatoes 50 g parmesan reggiano DOP 100 g breadcrumbs 2 medium eggs 3 tablespoons of seed oil peanut to taste salt to taste pepper procedure: heat the fryer to 200 degrees. put the potatoes together with the beans and add the grated cheese, 40 g of breadcrumbs, salt and pepper. mix everything together and create a dough for your cutlets. dip the dough in the eggs and then use the remaining breadcrumbs for breading. put the cutlet to fry and let it cook for 5 minutes. serve hot and accompanied by a wedge of lemon. Enjoy your meal! nutrients: fat 5, fiber 2, carbohydrates 49, protein 2, calories 636"
Could you outline a recipe for prepare How do you cook aubergine cutlets?,"preparation time: 5 minutes cooking time: 5 minutes portions: 4 ingredients: 2 aubergines cut into slices 2 eggs 150 g of breadcrumbs peanut oil to taste 00 flour to taste salt to taste pepper procedure: heat the fryer to 180 degrees. dip each slice of aubergine in the beaten eggs and then in the breadcrumbs mixed with parmesan. once the aubergines have been breaded, put them in the fryer. cook them in oil and then drain them before presenting them. serve hot. Enjoy your meal! nutrients: fat 8, fiber 24, carbohydrates 55, proteins 4, calories 546"
Can you walk me through prepare What is the best way to cook chickpea burgers?,"preparation time: 5 minutes cooking time: 5 minutes portions: 8 ingredients: 500 g pre-cooked chickpeas 25 g mustard 2 medium eggs 1 shallot finely sliced ​​5 g grated fresh ginger 50 g breadcrumbs 35 g breadcrumbs cut into cubes to taste salt to taste pepper procedure: heat the fryer to 200 degrees. created the hamburger by blending the bread, eggs, chickpeas, shallots, ginger and salt and pepper. add the breadcrumbs to give it more body. once you have given your mixture the shape of a hamburger, insert it into the fryer. cook for 5 minutes. serve hot. Enjoy your meal! nutrients: fat 5, fiber 2, carbohydrates 37, protein 3, calories 503"
What is the best way to cook lentil burgers?,"preparation time: 5 minutes cooking time: 5 minutes portions: 4 ingredients: 250 g of dried and boiled lentils 50 g of finely chopped breadcrumbs 5 g of chopped chives 1 egg to taste paprika to taste salt to taste pepper procedure: heat the fryer to 200 degrees. created the hamburger by blending the boiled lentils with the egg, chives and bread until it becomes a homogeneous mixture. add the paprika, salt and pepper to the mixture. once you have given your mixture the shape of a hamburger, insert it into the fryer. cook for 5 minutes until the burgers have a nice golden color. serve hot. Enjoy your meal! nutrients: fat 7, fiber 4, carbohydrates 53, proteins 4, calories 646"
How might I cook vegetable omelette?,"preparation time: 5 minutes cooking time: 5 minutes portions: 2 ingredients: 1 small courgette cut into thin slices 1 chopped onion 5 cherry tomatoes cut into wedges 2 eggs to taste extra virgin olive oil to taste salt to taste pepper a pinch of rosemary procedure: heat the fryer to 200 degrees. cook the courgette with the onion and add to the beaten eggs, add salt and pepper. Pour the mixture onto the baking paper inside the fryer. cook for 5 minutes. serve hot. Enjoy your meal! nutrients: fat 4, fiber 2, carbohydrates 8, proteins 3, calories 90"
What is the best way to prepare What is the best way to make curry omelette?,"preparation time: 5 minutes cooking time: 5 minutes portions: 2 ingredients: 100 g of chickpea flour 100 milliliters of water an egg to taste salt to taste pepper to taste extra virgin olive oil to taste curry 1 onion cut into thin slices and browned to taste chopped parsley procedure: heat the fryer to 180 degrees. add the egg, water, salt, pepper and curry to the chickpea flour and mix everything. add the onion and parsley. Place the mixture in the fryer and cook for 5 minutes. Enjoy your meal! nutrients: fat 3, fiber 2, carbohydrates 6, protein 3, calories 43"
Can you provide a method to cook fried eggs with onion and courgettes?,"preparation time: 5 minutes cooking time: 5 minutes portions: 1 ingredients: 1 egg 1 tablespoon extra virgin olive oil 1 small courgette cut into strips 20 g of onion to taste salt to taste pepper procedure: heat the fryer to 200 degrees and grease it with oil. break the egg into the fryer and add the vegetables. add salt and pepper and cook for 5 minutes. serve hot. Enjoy your meal! nutrients: fat 9, fiber 3, carbohydrates 17, protein 1, calories 100"
What steps are involved in make courgette rolls with culatello and squacquerone?,"preparation time: 5 minutes cooking time: 5 minutes portions: 10 rolls ingredients: 2 courgettes cut lengthwise, into very thin slices 100 g squacquerone 120 g sliced ​​culatello 1 tablespoon extra virgin olive oil to taste chives to taste salt to taste black pepper procedure: heat the fryer to 180 degrees, oiled. Place the courgette slices in the fryer and cook them for 5 minutes on both sides. while the courgettes are cooking, mix the squacquerone with the salt, pepper and chives. once cooked, transfer the courgettes to a plate and spread the cheese on top. add a slice of culatello for each courgette and roll up. Enjoy your meal! nutrients: fat 4, fiber 4, carbohydrates 33, proteins 2, calories 181 courgette rolls with cheese, pesto and herbs preparation time: 5 minutes cooking time: 5 minutes portions: 4 ingredients: 4 courgettes cut thin along the long side 200 g of fresh spreadable cheese 3 tablespoons of Genoese pesto to taste fresh parsley 20 g pine nuts to taste salt to taste pepper procedure: heat the fryer to 180 degrees, oiled. prepare the filling of the rolls with the spreadable cheese and pesto, adding a pinch of salt and pepper. lay out two strips of courgettes and distribute the fresh cheese with pesto. roll the courgettes until you obtain a roll. Place the courgette rolls in the fryer and let them cook. once ready, distribute the pine nuts and parsley over the top and serve. Enjoy your meal! nutrients: fat 4, fiber 3, carbohydrates 23, proteins 4, calories 211"
What is the best way to cook puff pastry?,"preparation time: 5 minutes cooking time: 6 minutes portions: 8 ingredients: 800 g of boiled asparagus 250 g of ready-made puff pastry cut into eight strips 8 slices of raw ham 30 g of Grana Padano flakes 1 egg procedure: heat the fryer at 200 degrees, oiling with seed oil. spread the slices of ham on the strips of puff pastry and then place the asparagus and roll everything around it. brush the asparagus with the egg. cook the asparagus in the fryer for 6 minutes, until the pasta is golden brown. serve hot. Enjoy your meal! nutrients: fat 43, fiber 4, carbohydrates 38, protein 1, calories 304"
Could you outline a recipe for cook camembert in foil?,"preparation time: 5 minutes cooking time: 5 minutes portions: 2 ingredients: 400 g camembert cheese 15 confit cherry tomatoes cut in half 12 pitted black and green olives to taste oregano a teaspoon of olive oil procedure: heat the fryer to 200 degrees, place the slices of cheese seasoned with the cherry tomatoes, olives, oregano and oil, cook for 5 minutes, until it is nice and soft. Enjoy your meal! nutrients: fat 2, fiber 4, carbohydrates 3, protein 5, calories 92"
What is the best way to serve curry aperitif?,"preparation time: 5 minutes cooking time: 5 minutes portions: 2 ingredients: 400 g of chickpeas already drained a spoonful of sunflower seed oil two teaspoons of curry to taste. salt to taste pepper a spoonful of dried thyme procedure: heat the fryer to 200 degrees, add the chickpeas already seasoned with paprika, oil, thyme, salt and pepper. cook for 5 minutes. Enjoy your meal! nutrients: fat 2, fiber 4, carbohydrates 7, protein 2, calories 102"
What’s involved in cook potato scones?,"preparation time: 5 minutes cooking time: 7 minutes portions: 2 ingredients: 500 g cooked and mashed potatoes 100 g flour 1 egg 1 tablespoon parmigiano reggiano to taste salt to taste pepper procedure: heat the fryer to 200 degrees, add the boiled and mashed potatoes together with the egg, parmesan, flour and a pinch of salt. knead everything and create small round-shaped focaccias. cook for 7 minutes, changing sides of the focaccias. wait until they brown. serve hot. Enjoy your meal! nutrients: fat 5, fiber 6, carbohydrates 11, protein 3, calories 316"
Could you guide me on cook stuffed cucumbers?,"preparation time: 5 minutes cooking time: 4 minutes portions: 4 ingredients: 2 cucumbers cut into large cylinders 200 g of cottage cheese 2 radishes to taste pepper procedure: heat the fryer to 150 degrees. Prepare the cucumbers by removing the peel but only half. cut each cucumber into 6 cylinders and dig in. Place the cucumbers in the fryer and let them cook. once they come out of the fryer, fill them with cottage cheese and serve. Enjoy your meal! nutrients: fat 4, fiber 3, carbohydrates 23, proteins 4, calories 199"
How do I successfully prepare How do you make aubergine pizza?,"preparation time: 5 minutes cooking time: 5 minutes portions: 4 ingredients: 2 round aubergines cut into 1 cm thick slices 200 g tomato sauce 100 g pizza mozzarella cut into slices to taste. grated cheese to taste oregano to taste olive oil to taste salt procedure: heat the fryer to 180 degrees, oiled. we make small cuts on each slice of aubergine and put oil and salt on top. season the aubergine slices with tomato sauce, mozzarella and a little grated cheese. put the aubergine slices to cook in the fryer. serve hot with a pinch of oregano. Enjoy your meal! nutrients: fat 4, fiber 3, carbohydrates 23, proteins 4, calories 211"
What are the best ways to cook pumpkin scones?,"preparation time: 5 minutes cooking time: 5 minutes portions: 4 ingredients: 250 g of pumpkin cut into small pieces and already cooked 2 tablespoons of pecorino cheese 1 sachet of instant yeast for savory pies 250 g of flour to taste olive oil to taste salt procedure: heat the fryer to 180 degrees, oiled. mash the pumpkin with a fork, then add the pecorino, salt and a little nutmeg. add the sachet of instant yeast and mix. Let's create some scones and dip them in flour. put the scones to cook in the fryer. serve hot. Enjoy your meal! nutrients: fat 5, fiber 6, carbohydrates 33, proteins 5, calories 301 bowl with avocado, corn and beans preparation time: 3 minutes cooking time: 4 minutes portions: 4 ingredients: 200g pre-cooked corn 200g pre-cooked black beans in box 1 avocado, peeled and diced 1 tomato, diced 1 cooked turnip, diced to taste chopped parsley to taste oil, vinegar, salt and pepper procedure: 1. heat the oiled fryer to 180 degrees, mix beans, turnips and corn and cook for 4 minutes. 2. in the meantime, mix avocado, tomato, oil, parsley, vinegar, salt and pepper in a large bowl. 3. add the cooked ingredients, mix and serve. Enjoy your meal! nutrients: fat 8, fiber 8, carbohydrates 17, proteins 10, calories 272"
Can you provide a method to cook ratatouille?,"preparation time: 4 minutes cooking time: 6 minutes portions: 4 ingredients: 300g pre-cooked chickpeas, drained 1 red pepper, diced 1 yellow pepper, diced a handful of chopped parsley 1 tablespoon chopped chili pepper oil spray salt and pepper to taste procedure: 1. heat the fryer to 190 degrees with the oil, add chickpeas and peppers and cook for 6 minutes, adding parsley, chilli pepper, salt and pepper halfway through cooking. 2. pour into plates and serve. Enjoy your meal! nutrients: fat 18, fiber 2, carbohydrates 55, protein 1, calories 430"
How do I cook aubergines and carrots au gratin?,"preparation time: 5 minutes cooking time: 5 minutes portions: 4 ingredients: 2 carrots, chopped into cubes 200 ml of classic béchamel, chopped oregano, salt and pepper to taste. 100g of breadcrumbs 100g of grated parmesan 1 aubergine cut into small cubes procedure: heat the fryer to 200 degrees by greasing with olive oil. in the meantime, mix the breadcrumbs, oregano and parmesan. Place the vegetables in the fryer with 3 generous spoonfuls of béchamel as a base and cook for 5 minutes. Place the remaining béchamel sauce on top of the breadcrumb mix and pour it over the half-cooked vegetables, then serve, seasoning with salt and pepper. Enjoy your meal! nutrients: fat 14, fiber 6, carbohydrates 12, protein 7, calories 245"
Can you detail the process for prepare How do you cook mushroom and sesame omelette?,"preparation time: 5 minutes cooking time: 6 minutes portions: 4 ingredients: 4 eggs 200g mushrooms in oil, drained and chopped 1 carrot, cut into thin strips chopped thyme to taste oil in spray salt and pepper to taste. procedure: heat the fryer to 180 degrees, oil it and cook the mushrooms and carrots. Meanwhile, mix the eggs, thyme, salt and pepper in a bowl and pour into the fryer halfway through cooking. pour onto a plate, cut and serve. Enjoy your meal! nutrients: fat 9, fiber 13, carbohydrates 17, protein 10, calories 257"
Could you outline a recipe for prepare What is the best way to cook vegan chili?,"prep time: 5 minutes cooking time: 7 minutes servings: 4 ingredients: 300g precooked black beans, drained 1 red pepper, diced 1 yellow pepper, diced 1 red onion, chopped 1 tbsp chopped chilli ½ tsp of smoked paprika 300g of peeled tomatoes oil in spray salt and pepper to taste procedure: heat the fryer to 200 degrees with the oil and add beans, peppers, tomatoes and onion to cook them for 7 minutes. halfway through cooking, add chili pepper, paprika, salt and pepper. serve on plates, enjoy your meal! nutrients: fat 16, fiber 12, carbohydrates 22, protein 12, calories 325"
What process should I follow to cook spinach salad?,"preparation time: 5 minutes cooking time: 6 minutes portions: 2 ingredients: 100g of pre-cooked spelled 100g of chopped spinach a handful of cherry tomatoes (yellow and red), cut in half 80g of ricotta, crushed oil in spray salt and pepper to taste. procedure: heat the oiled fryer to 180 degrees and cook the spinach and spelled for 6 minutes. pour into a bowl, add tomatoes, ricotta, salt and pepper, mix and serve. Enjoy your meal! nutrients: fat 13, fiber 4, carbohydrates 17, protein 7, calories 240"
How do I cook cauliflower and mushrooms for risotto?,"preparation time: 5 minutes cooking time: 5 minutes portions: 2 ingredients: 100g button mushrooms, drained ½ cauliflower, chopped ½ onion, chopped 1 clove garlic, chopped 2 teaspoons chopped thyme ¼ glass white wine oil salt and pepper spray to taste procedure: heat the oiled fryer to 180 degrees, add cauliflower, onion, mushrooms, garlic and cook. add wine, thyme, salt and pepper halfway through cooking. serve with white rice. Enjoy your meal! nutrients: fat 2, fiber 4, carbohydrates 4, protein 1, calories 186"
What techniques are used to prepare What are some ways to cook cutlets with eggplant?,"preparation time: 5 minutes cooking time: 6 minutes portions: 2 ingredients: 2 mashed boiled potatoes 1 aubergine, diced 1 small onion, chopped 2 tablespoons breadcrumbs spray oil to taste salt to taste pepper procedure: heat the oiled fryer to 200 degrees and cook the aubergines and onion. mix the cooked vegetables, boiled potatoes, breadcrumbs, salt and pepper in a bowl and form meatballs. Place the meatballs back in the oiled fryer and cook for 5 minutes. serve with salt. Enjoy your meal! nutrients: fat 16, fiber 4, carbohydrates 18, protein 12, calories 300"
What is required to prepare What are some ways to cook meatballs with fontina cheese?,"preparation time: 5 minutes cooking time: 5 minutes portions: 4 ingredients: 8 slices of fontina cheese 100g of mushrooms, drained and chopped 2 boiled potatoes cut into chunks 2 courgettes boiled and cut into cubes 1 slice of bread soaked in milk 1 egg to taste oil, salt and pepper procedure: 1. heat the oiled fryer to 200 degrees 2. add the egg and bread to the boiled vegetables, salt and pepper and create meatballs with the mixture (add breadcrumbs if needed). 3. place the meatballs in the fryer and cook them for 5 minutes, adding the fontina cheese on top of the meatballs at the last minute. 4. serve hot. Enjoy your meal! nutrients: fat 7, fiber 2, carbohydrates 19, protein 2, calories 300 broccoli, feta and lemon preparation time: 4 minutes cooking time: 6 minutes portions: 2 ingredients: 300g broccoli, cut into florets 150g feta, chopped diced zest and juice of 1 lemon 1 clove of garlic 100ml of cream a spoonful of grated parmesan oil spray, salt and pepper to taste procedure: heat the oiled fryer to 180 degrees and cook the broccoli and garlic for 6 minutes. add lemon, cream and parmesan halfway through cooking. pour into bowls, add feta, mix and serve. Enjoy your meal! nutrients: fat 20, fiber 2, carbohydrates 18, protein 11, calories 300"
What are the guidelines for make a mini pizza?,"preparation time: 5 minutes cooking time: 5 minutes portions: 2 ingredients: 4 slices of bread, cut into a circle (use a bowl) 100g chopped spinach a handful of cherry tomatoes cut in half 1 mozzarella, grated chilli pepper, oil, salt and pepper to taste. Procedure: heat the oiled fryer to 180 degrees and cook the spinach with salt, pepper and chilli for 5 minutes. in the meantime, toast the bread in a pan, adding the mozzarella once you turn the slices the first time. place the toasted bread on plates, add spinach, cherry tomatoes, salt, pepper and chilli and serve. Enjoy your meal! nutrients: fat 8, fiber 12, carbohydrates 16, protein 7, calories 290"
How can I cook a vegetable bowl?,"preparation time: 5 minutes cooking time: 5 minutes portions: 1 ingredients: a handful of pre-cooked spelled 50g of chopped spinach a handful of cherry tomatoes, cut in half 1 egg a spoonful of chopped hazelnuts salt, oil and pepper to taste. procedure: boil some water together with the egg in a saucepan, once it boils cook for 3 minutes. Meanwhile, heat the oiled fryer to 180 degrees and cook the spinach and spelled for 5 minutes. put spinach, spelled, hazelnuts, oil, salt and pepper and tomatoes in the bowl and mix, add the peeled egg cut in half and serve. Enjoy your meal! nutrients: fat 14, fiber 12, carbohydrates 18, protein 9, calories 290"
How do I cook bean burgers?,"preparation time: 5 minutes cooking time: 5 minutes portions: 4 ingredients: 400g canned black beans, drained 100g breadcrumbs 2 tablespoons chopped parsley 1 teaspoon garlic powder juice of ½ lemon salt and pepper to taste oil in spray procedure: blend all the ingredients in the mixer, except the oil, and form burgers (adding breadcrumbs if necessary). cook the burgers in the oiled fryer at 180 degrees for 5 minutes. serve with bread. Enjoy your meal! nutrients: fat 7, fiber 12, carbohydrates 20, protein 12, calories 280"
What are the instructions to prepare How do you cook potato and spinach tacos?,"preparation time: 5 minutes cooking time: 6 minutes portions: 2 ingredients: 2 tacos 1 potato, peeled and cut into cubes 2 tablespoons robiola cheese 1 handful of chopped spinach 1 clove of garlic chopped parsley, salt and pepper to taste. olive oil procedure: heat the oiled fryer to 200 degrees and cook the potatoes, garlic, spinach, salt and pepper for 6 minutes. spread the robiola on the tacos, add the cooked ingredients, parsley, salt and pepper and serve. Enjoy your meal! nutrients: fat 8, fiber 4, carbohydrates 21, protein 2, calories 323"
How do I cook sweet potato medallions?,"preparation time: 5 minutes cooking time: 7 minutes portions: 2 ingredients: 300 g of sweet potatoes, cut into rounds with the skin on 100 g of chopped almonds 1 clove of garlic 100ml of cooking cream zest and juice of ½ lemon to taste fine salt, oil, parsley and pepper procedure: heat the oiled fryer to 200 degrees and cook the potatoes with the garlic for 6 minutes. in the meantime, blend almonds, cream, lemon, salt, parsley and pepper. Place the potatoes on plates, pour the almond sauce over them and serve. Enjoy your meal! nutrients: fat 14, fiber 15, carbohydrates 21, protein 18, calories 340"
Could you outline a recipe for prepare How do you make hummus and zucchini sandwich?,"preparation time: 5 minutes cooking time: 4 minutes portions: 2 ingredients: 2 round sandwiches, cut in half horizontally courgette, au gratin 1 carrot, au gratin 2 tablespoons hummus a handful of pine nuts oil, salt and pepper to taste. juice of ½ lemon procedure: heat the fryer to 180 degrees with the oil and toast the pine nuts and bread for 4 minutes. prepare the sandwich by spreading the hummus, adding pine nuts, courgette and grated carrots, salt, oil and pepper, sprinkle the lemon on top and serve. Enjoy your meal! nutrients: fat 5, fiber 13, carbohydrates 25, protein 12, calories 284"
What is the best way to cook zucchini spaghetti with peaches?,"preparation time: 5 minutes cooking time: 3 minutes portions: 2 ingredients: 1 courgette, cut into spaghetti a handful of pine nuts 1 peach, peeled and cut into cubes juice and zest of 1 lime poppy seeds oil, salt and pepper to taste. procedure: heat the fryer to 200 degrees and toast pine nuts for 3 minutes. mix courgettes, lime, poppy, oil, salt and pepper. add the pine nuts to the courgettes, mix them, add the peaches on top and serve. Enjoy your meal! nutrients: fat 2, fiber 4, carbohydrates 16, protein 1, calories 210"
Can you provide a method to prepare How do you make tortellini and mushroom soup?,"preparation time: 5 minutes cooking time: 6 minutes portions: 2 ingredients: 100g of tortellini with ricotta and spinach 100g of drained mushrooms a handful of drained chickpeas ½ chopped onion to taste oil spray, thyme, salt and pepper 400ml of vegetable broth procedure: heat the fryer to 160 degrees, add broth, mushrooms, chickpeas, onion and bring to the boil. once it boils, add tortellini, salt, thyme, pepper and a drizzle of oil and cook the tortellini according to the instructions. pour into bowls and serve. Enjoy your meal! nutrients: fat 10, fiber 15, carbohydrates 31, protein 13, calories 400"
How can I cook rice crispy mix?,"preparation time: 5 minutes cooking time: 7 minutes portions: 4 ingredients: 1 broccoli, cut into florets 150g of cashews 200g of drained mushrooms a handful of chopped parsley oil, salt and pepper to taste. procedure: heat the oiled fryer to 180 degrees and cook broccoli, cashews and mushrooms for 7 minutes, adding parsley, salt and pepper halfway through cooking. pour over the rice to be seasoned and serve. Enjoy your meal! nutrients: fat 2, fiber 4, carbohydrates 12, protein 5, calories 240"
How do you cook fennel gyros?,"preparation time: 5 minutes cooking time: 6 minutes portions: 2 ingredients: 400 g of fennel, cut into cubes ½ extra virgin olive oil 1 tablespoon of spices for gyros meat 1 clove of garlic to taste salt procedure: heat the fryer to 200 degrees. season the fennel with the spices, oil and a little salt. put everything in the fryer together with the garlic for 6 minutes and give it a stir halfway through cooking. pour onto plates and serve. Enjoy your meal! nutrients: fat 10, fiber 3, carbohydrates 20, protein 7, calories 240"
How do I cook eggs and vegetables in red?,"preparation time: 5 minutes cooking time: 5 minutes portions: 4 ingredients: 1 onion, chopped 200g of mushrooms, drained 4 eggs 2 large tomatoes, chopped 200g of pre-cooked canned beans, drained 200g of spinach 400g of tomato sauce to taste. salt, pepper and oil procedure: heat the oiled fryer to 180 degrees and pour in the onion, mushrooms, beans and spinach to cook for 7 minutes, after 3 minutes add tomatoes and sauce and continue to cook. in the meantime, boil some water in a saucepan with the eggs, once it boils, let it cook for 3 minutes. pour into bowls, season, add a shelled egg cut in half to each bowl, mix and serve. Enjoy your meal! nutrients: fat 13, fiber 4, carbohydrates 17, protein 4, calories 280"
What is the best way to make veggie fajitas?,"prep time: 5 minutes cook time: 6 minutes servings: 2 ingredients: 2 fajitas bread ½ red bell pepper, cut into thin strips 1 handful precooked black beans, drained one tomato, chopped ½ avocado, peeled and diced parsley chopped, salt and pepper to taste. 2 tablespoons of spicy sauce oil in spray procedure: heat the oiled fryer to 180 degrees and cook the pepper and beans for 6 minutes. prepare the fajita by placing peppers and beans, tomatoes, parsley, avocado, spicy sauce, salt and pepper, fold and serve. Enjoy your meal! nutrients: fat 21, fiber 14, carbohydrates 24, protein 11, calories 326"
What is required to prepare What is the best way to cook aubergines au gratin?,"preparation time: 5 minutes cooking time: 5 minutes portions: 2 ingredients: 1 aubergine cut into strips a spoonful of chilli powder 50 g of breadcrumbs 50 g grated parmesan to taste olive oil to taste fine salt procedure: heat the fryer to 200 degrees, place the aubergine and courgette slices in a bowl, grease with a little oil and sprinkle them with the parmesan, chilli and breadcrumbs. add the salt. distribute the aubergines on the fryer basket. cook for 5 minutes, then serve on plates. Enjoy your meal! nutrients: fat 2, fiber 3, carbohydrates 8, protein 2, calories 121"
How do I cook spiced courgettes?,"preparation time: 5 minutes cooking time: 6 minutes portions: 4 ingredients: 2 courgettes cut long side very thin 1 tablespoon of cumin half a tablespoon of chilli pepper 1 pinch of fennel seeds 1 clove of garlic coriander leaves coriander seeds sesame, a handful of zest and juice of 1 lime to taste. olive oil, salt and pepper procedure: heat the oiled fryer to 200 degrees. add the courgettes, salt, pepper, garlic and chilli pepper to the fryer. let cook for 6 minutes, until the courgettes become soft. once cooking is finished, complete the dish with the spices: sprinkle the courgettes with the lime, sesame seeds and coriander. serve hot. Enjoy your meal! nutrients: fat 4, fiber 2, carbohydrates 10, proteins 3, calories 190"
What are the best practices for cook spring mix?,"preparation time: 5 minutes cooking time: 5 minutes portions: 4 ingredients: 400g pre-cooked peas, drained 400g pre-cooked spelled seeds of 1 pomegranate 4 eggs to taste fine salt, pepper and oil procedure: heat the oiled fryer to 180 degrees and cook the peas and spelled for 5 minutes. in the meantime, boil some water in a saucepan with the eggs, once it boils continue cooking for 3 minutes. put the peas and spelled in the bowls, add salt, pepper and pomegranate, mix, add the shelled eggs cut in half and serve. Enjoy your meal! nutrients: fat 10, fiber 15, carbohydrates 22, protein 12, calories 310"
How can I go about prepare How do you cook eggplant rolls with ricotta?,"preparation time: 5 minutes cooking time: 5 minutes portions: 10 rolls ingredients: 2 aubergines, cut lengthwise, into very thin slices 100 g of sheep's milk ricotta 1 tablespoon of extra virgin olive oil to taste chives to taste salt to taste black pepper procedure: heat the fryer to 180 degrees, oiled. place the aubergine slices in the fryer and cook them for 5 minutes on both sides. while the aubergines are cooking, mix the ricotta with the salt, pepper and chives. once cooked, transfer the aubergines to a plate and spread the ricotta over them, rolling everything up (you can use toothpicks to secure). serve on plates. Enjoy your meal! nutrients: fat 10, fiber 4, carbohydrates 13, protein 2, calories 241"
How do I cook spicy mushrooms?,"preparation time: 5 minutes cooking time: 5 minutes portions: 4 ingredients: 4 caps large mushrooms 50g butter 1 onion, chopped 1 carrot, chopped 1 chilli, chopped 3 tablespoons soy sauce juice of 1 lemon salt and pepper to taste procedure: prepare the buttered fryer at 180 degrees and cook the mushrooms, onion, carrot and chilli pepper for 5 minutes, adding soy, salt and pepper halfway through cooking. pour the mushrooms onto plates, put carrots and onions on top, sprinkle the lemon and serve. Enjoy your meal! nutrients: fat 12, fiber 1, carbohydrates 14, protein 2, calories 220"
What is a good recipe to prepare How do you cook cold Italian pasta?,"preparation time: 3 minutes cooking time: 3 minutes portions: 4 ingredients: 350g cooked and cooled pasta 2 tomatoes, chopped 2 mozzarella, chopped two handfuls of chopped basil a handful of capers 4 tablespoons pine nuts to taste pepper, oil and salt procedure: heat the fryer to 200 degrees and toast the pine nuts for 3 minutes. in the meantime, mix all the other ingredients in a bowl. add the pine nuts, mix and serve. Enjoy your meal! nutrients: fat 9, fiber 13, carbohydrates 27, protein 1, calories 350"
Can you show me how to make vegan sandwich?,"preparation time: 5 minutes cooking time: 6 minutes portions: 4 ingredients: 4 hamburger buns, cut in half horizontally 4 caps of large mushrooms 200g cooked and mashed pumpkin 200g boiled and mashed carrot 1 chopped onion 2 tablespoons cream kitchen 100g of low-fat plain yogurt oil, salt and pepper to taste procedure: heat the oiled fryer to 180 degrees and cook mushrooms and onion with salt and pepper for 6 minutes. in the meantime, blend pumpkin, carrot, cream, salt and pepper to create a cream. prepare the sandwich, spreading the pumpkin cream, adding the mushroom and onion, the yogurt, and serve. Enjoy your meal! nutrients: fat 15, fiber 7, carbohydrates 29, protein 5, calories 352"
How do I cook sweet fennel?,"preparation time: 5 minutes cooking time: 6 minutes portions: 2 ingredients: 300g fennel cut into small pieces a pinch of salt and black pepper 1 tablespoon brown sugar 200g fresh ricotta ½ tablespoon butter, melted procedure: heat the fryer to 200 degrees in a dish that fits your air fryer, mix the baby carrots with butter, salt, pepper and sugar, sauté, place in the air fryer air and cook for 5 minutes. pour the fennel into a bowl, add the ricotta, mix and serve. Enjoy your meal! nutrients: fat 12, fiber 3, carbohydrates 27, protein 4, calories 300"
What are the key steps to cook falafel?,"preparation time: 5 minutes cooking time: 7 minutes portions: 4 ingredients: 400g pre-cooked chickpeas, drained 2 tablespoons 00 flour 1 onion, chopped 1 clove garlic, minced 1 tablespoon chopped coriander and 1 tablespoon chopped basil 2 tablespoons of turmeric 2 tablespoons of cumin oil in spray salt and pepper to taste procedure: blend all the ingredients, except the oil, in a bowl and form balls with the mixture. heat the oiled fryer to 200 degrees and cook the balls in it for 5 minutes. served on a foil. Enjoy your meal! nutrients: fat 4, fiber 4, carbohydrates 21, protein 4, calories 271"
What is the best way to cook buttered cauliflower?,"preparation time: 4 minutes cooking time: 6 minutes portions: 4 ingredients: 500 g of cauliflower cut into florets salt and black pepper to taste 1 tablespoon of mustard 1 tablespoon of butter 100g of grated parmesan salt and pepper to taste. 2 tablespoons dill, finely chopped procedure: 1. Heat the fryer to 180 degrees. 2. add the cauliflower and cook for 6 minutes, adding dill, parmesan, salt and pepper halfway through cooking. 3. divide among plates and serve. Enjoy your meal! nutrients: fat 12, fiber 8, carbohydrates 14, protein 5, calories 262"
What are the necessary steps to cook spaghetti?,"preparation time: 5 minutes cooking time: 6 minutes portions: 3 ingredients: 2 courgettes, cut into spaghetti 3 tablespoons of pesto a handful of whole cherry tomatoes a handful of pine nuts 2 tablespoons of balsamic vinegar oil, salt and pepper to taste. procedure: heat the oiled fryer to 180 degrees, mix the courgettes, cherry tomatoes, pesto, salt and pepper and cook for 6 minutes, adding pine nuts and vinegar halfway through cooking. pour into plates and serve. Enjoy your meal! nutrients: fat 6, fiber 6, carbohydrates 8, protein 5, calories 192"
Can you walk me through prepare How do you cook spinach and dolcelatte gnocchi?,"preparation time: 7 minutes cooking time: 6 minutes portions: 4 ingredients: 400g fresh gnocchi 150g spinach, chopped 100g dolcelatte cheese, cut into cubes 200ml cream salt, oil and pepper to taste procedure: boil water for the gnocchi in a pan, add salt and cook them according to the instructions. in the meantime, heat the oiled fryer to 180 degrees and cook the spinach for 6 minutes, adding cream, dolcelatte, salt and pepper halfway through cooking. drain the gnocchi and place them on plates, pour over the spinach mix and serve. Enjoy your meal! nutrients: fat 15, fiber 3, carbohydrates 27, protein 4, calories 350"
